,,Author,Date,Rating,"Helpful count",Review,"Picture included",Language,"Language code","Reviewer Data","Profile Url","Review Url",Photos
1,,"GT Satoh","2018-01-25 05:02:40",5,0,"This is a brand new Culver's in Lansing, Michigan. The food was outstanding, the best I have had at any Culver's, which is generally very good. Even though there were many patrons, our food arrived quickly and was the perfect temperature. The cheese curds were excellent, both squeaky and pully.  I had a butter burger. My son had chicken tenders. The portions were generous. The staff was very polite and attentive.  Even a visiting Franchisee from Georgia, Ali, was fully engaged and welcoming.
And, of course, the root beer is wonderful.

I highly recommend this Culver's for a dinner treat and a dish of frozen custard. Pricing is a little more than fast food, but worth it.
https://lh5.googleusercontent.com/p/AF1QipPv_HXYaXlFtlgHcQzETMvMFUT1a4LIw-zhImY=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipPvmABJhVzgG62iPf2h7R867Aa7I7BqfdHy0Og=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipPv_HXYaXlFtlgHcQzETMvMFUT1a4LIw-zhImY=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipPvmABJhVzgG62iPf2h7R867Aa7I7BqfdHy0Og=w150-h150-k-no-p",yes,,en,"Local Guide · 1 review",https://www.google.com/maps/contrib/115912568974966124078?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNnOE1PbEh3EAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICg8MOlHw%7CCgwI8Mml0wUQwMyo9gI%7C?hl=en,"https://lh5.googleusercontent.com/p/AF1QipPv_HXYaXlFtlgHcQzETMvMFUT1a4LIw-zhImY=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPvmABJhVzgG62iPf2h7R867Aa7I7BqfdHy0Og=w150-h150-k-no-p"
2,,"Gordon Satoh (Monumental Pens)","2018-01-25 05:08:20",5,1,"This is our local Culver's for South Lansing. Having just opened, there is a lot of clientele.  But the food came just as fast as ever. Good temperature.  The butter burger was tasty.  The cheese curds wonderful.  My son had chicken tenders, and these were very good. Ali, visiting as a Franchisee from Georgia was so attentive and engaged.  The employees looked happy to be there.  And the frozen custard with the cashews was amazing!  I think I have another post somewhere on this but it is worth taking the time to talk about.  If there is any shortcoming it is how full the parking lot is.  That is a good sign of a new restaurant. Enjoy!
https://lh5.googleusercontent.com/p/AF1QipNdesTmWJiZcdBa5bmxdbNExMC-2iFFU7t9XK96=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipP7MYd988hvhoKoGeUhxuI0m2xDU3Kyd3iioTQx=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipNdesTmWJiZcdBa5bmxdbNExMC-2iFFU7t9XK96=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipP7MYd988hvhoKoGeUhxuI0m2xDU3Kyd3iioTQx=w150-h150-k-no-p",yes,,en,"26 reviews in Lansing",https://www.google.com/maps/contrib/100025652894454701573?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNBLU9XVElnEAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICA-OWTIg%7CCgwIxMyl0wUQwNnI3AI%7C?hl=en,"https://lh5.googleusercontent.com/p/AF1QipNdesTmWJiZcdBa5bmxdbNExMC-2iFFU7t9XK96=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipP7MYd988hvhoKoGeUhxuI0m2xDU3Kyd3iioTQx=w150-h150-k-no-p"
3,,Rachelle,"2018-09-08 23:27:07",5,0,"Extra Friendly Staff! They really went out of their way to make our experience 5 stars!
https://lh5.googleusercontent.com/p/AF1QipPsaH-rfLkaxBUgxGKzw-GSZm7CXHpYiUvBcQR4=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipPvaJrFBFSFqpqKWkG4m0dnsI4owPgYotHyYD8K=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipMjY7p1e7ISJ07Ky9E9_kYV8BEkoTkIYUyit6py=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipOJZJNRBmeb9gnjoVOWtkg8N5epjziNzZkvHpeh=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipNfkc8YDO9zAFxWMsYsFRX2xmDD8PzWAdAgFHvs=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipPsaH-rfLkaxBUgxGKzw-GSZm7CXHpYiUvBcQR4=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipPvaJrFBFSFqpqKWkG4m0dnsI4owPgYotHyYD8K=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipMjY7p1e7ISJ07Ky9E9_kYV8BEkoTkIYUyit6py=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipOJZJNRBmeb9gnjoVOWtkg8N5epjziNzZkvHpeh=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipNfkc8YDO9zAFxWMsYsFRX2xmDD8PzWAdAgFHvs=w150-h150-k-no-p",yes,,en,"Local Guide · 52 reviews",https://www.google.com/maps/contrib/100614099882798398542?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNnNWJyLWtnRRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICg5br-kgE%7CCgwIy7XR3AUQwIOqtQM%7C?hl=en,"https://lh5.googleusercontent.com/p/AF1QipPsaH-rfLkaxBUgxGKzw-GSZm7CXHpYiUvBcQR4=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPvaJrFBFSFqpqKWkG4m0dnsI4owPgYotHyYD8K=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMjY7p1e7ISJ07Ky9E9_kYV8BEkoTkIYUyit6py=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOJZJNRBmeb9gnjoVOWtkg8N5epjziNzZkvHpeh=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNfkc8YDO9zAFxWMsYsFRX2xmDD8PzWAdAgFHvs=w150-h150-k-no-p"
4,,"Jennifer Hatt","2019-05-23 17:08:39",4,0,"Love culvers food and the flavor of the day never dissapionts. The food is much more tasty than other ""fast food"" options. The food does seem to take longer to come out but I think its worth it. Sometimes this location drive through gets pretty busy.
https://lh5.googleusercontent.com/p/AF1QipPD1nSyirag2PgVXrxUar0XE3zybRW8mXj2dEdz=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipPD1nSyirag2PgVXrxUar0XE3zybRW8mXj2dEdz=w150-h150-k-no-p",yes,,en,"10 American restaurant reviews",https://www.google.com/maps/contrib/106435776586571281639?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURZNl9PQVJBEAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIDY6_OARA%7CCgsIl6eb5wUQoIjaKg%7C?hl=en,https://lh5.googleusercontent.com/p/AF1QipPD1nSyirag2PgVXrxUar0XE3zybRW8mXj2dEdz=w150-h150-k-no-p
5,,"kevin thatcher","2019-06-06 00:55:36",1,2,"This Culvers is one of the worst Culvers ive experienced in awhile.  The person working drive thru absolutley hated her job and you can tell.  Before we even got to the windoes it took almost 11 minutes.  From the time we pulled in to the time we got our food we waited a total of 25 minutes.  The person working drive through seemed like she was depressed.  I felt bad as she mumbled and didnt make eye contact.  Clearly something was going on and clearly this Culvers needs to do something better to motivate their staff.  I would not recommend this place, nor will i ever come back.
https://lh5.googleusercontent.com/p/AF1QipOSIuB-cYmQ5F1-f2jCGfCTVEHh6A4ClQY2xugW=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipP0wgm4cgBzv2-JQZUpukExz8tXGnh8y_FZGUFz=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipOAFFA8LxhDiqZc0SeL_R7SC1QJsIMbBvpu5iF3=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipOSIuB-cYmQ5F1-f2jCGfCTVEHh6A4ClQY2xugW=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipP0wgm4cgBzv2-JQZUpukExz8tXGnh8y_FZGUFz=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipOAFFA8LxhDiqZc0SeL_R7SC1QJsIMbBvpu5iF3=w150-h150-k-no-p",yes,,en,"8 American restaurant reviews",https://www.google.com/maps/contrib/116671956102715813327?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM0anJPeXNRRRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIC4jrOysQE%7CCgsIiMnh5wUQmMOYQw%7C?hl=en,"https://lh5.googleusercontent.com/p/AF1QipOSIuB-cYmQ5F1-f2jCGfCTVEHh6A4ClQY2xugW=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipP0wgm4cgBzv2-JQZUpukExz8tXGnh8y_FZGUFz=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOAFFA8LxhDiqZc0SeL_R7SC1QJsIMbBvpu5iF3=w150-h150-k-no-p"
6,,"O F","2019-06-17 17:56:50",3,0,"This location didn't really impress me. The man taking my order was very nice and helpful, he was much appreciated. My brothers loved their meal but my chicken sandwich was just okay. It didn't come with any condiments. My strawberry shake was really good.",no,,en,"6 American restaurant reviews",https://www.google.com/maps/contrib/115234476144012368266?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNFdThPQjJnRRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICEu8OB2gE%7CCgwI4qif6AUQkPv2pAE%7C?hl=en,
7,,"EL PARAISO STAR A","2019-06-27 22:32:47",4,0,"Always been one of my fvaorite authentic go to ice cream places when im craving an original soft creamy smooth freshly made ice cream custard. Been going thr on off since 8 yrs now..they also have tasty soups & burgers n other sides.ive never tried their burgers but their fries r decent.price is decent. Average not too expensive. Last 3 days i was going everyday foe the flavor of the days. So far i did like red raspberries, n double strawberry n todays the new flavor of the month creamy lemon crumble!!!
https://lh5.googleusercontent.com/p/AF1QipO4DuNeQVF9YbJpCjqB1XGuGkzhWkU0piXdVjAw=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipM_Xb_tWzG7yoOeDVTrI8cYGbqdSoLUxjWY0FBn=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipPPXRTVZ2oErR6KPV4fF1wXod2iqBRhOfsD8H_s=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipOKMllr-wcaKhUkA9N11OuraQqHxF0_aFaXbR3p=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipMgVbM7g8vTFNJ8JY1Tzx8F3yybBFcc2yi1s1Nj=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipMsR0OLeGWH_qvWhZnYL3T7LDjKVPSmaZxCrzMJ=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipP7-R8Mta-91Ato0X7G02rvJhHOi5ZrH26vWQIb=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipPHq_pbAbKVOdWGoVUhj-jQEMdAEUT4op800MZu=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipPo6BQ8quBN_63sbqBUWy0S9um2EwnGxqyA0PjR=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipOnxNgkf8Otnz6kO6Iy7PjcqEA6E_bz1UtLGYpY=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipP4EI-pF9zZsWUUWkBNrZp9kQvgl645Wp_qFQmX=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipP129SOGoJcJPCw0GZpxpvcny9n-5YbovOgokXx=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipO4DuNeQVF9YbJpCjqB1XGuGkzhWkU0piXdVjAw=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipM_Xb_tWzG7yoOeDVTrI8cYGbqdSoLUxjWY0FBn=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipPPXRTVZ2oErR6KPV4fF1wXod2iqBRhOfsD8H_s=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipOKMllr-wcaKhUkA9N11OuraQqHxF0_aFaXbR3p=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipMgVbM7g8vTFNJ8JY1Tzx8F3yybBFcc2yi1s1Nj=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipMsR0OLeGWH_qvWhZnYL3T7LDjKVPSmaZxCrzMJ=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipP7-R8Mta-91Ato0X7G02rvJhHOi5ZrH26vWQIb=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipPHq_pbAbKVOdWGoVUhj-jQEMdAEUT4op800MZu=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipPo6BQ8quBN_63sbqBUWy0S9um2EwnGxqyA0PjR=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipOnxNgkf8Otnz6kO6Iy7PjcqEA6E_bz1UtLGYpY=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipP4EI-pF9zZsWUUWkBNrZp9kQvgl645Wp_qFQmX=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipP129SOGoJcJPCw0GZpxpvcny9n-5YbovOgokXx=w150-h150-k-no-p",yes,,en,"8 American restaurant reviews",https://www.google.com/maps/contrib/118356436274477435273?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURrb1o3N05nEAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIDkoZ77Ng%7CCgwIj4jV6AUQwLHRmAI%7C?hl=en,"https://lh5.googleusercontent.com/p/AF1QipO4DuNeQVF9YbJpCjqB1XGuGkzhWkU0piXdVjAw=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM_Xb_tWzG7yoOeDVTrI8cYGbqdSoLUxjWY0FBn=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPPXRTVZ2oErR6KPV4fF1wXod2iqBRhOfsD8H_s=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOKMllr-wcaKhUkA9N11OuraQqHxF0_aFaXbR3p=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMgVbM7g8vTFNJ8JY1Tzx8F3yybBFcc2yi1s1Nj=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMsR0OLeGWH_qvWhZnYL3T7LDjKVPSmaZxCrzMJ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipP7-R8Mta-91Ato0X7G02rvJhHOi5ZrH26vWQIb=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPHq_pbAbKVOdWGoVUhj-jQEMdAEUT4op800MZu=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPo6BQ8quBN_63sbqBUWy0S9um2EwnGxqyA0PjR=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOnxNgkf8Otnz6kO6Iy7PjcqEA6E_bz1UtLGYpY=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipP4EI-pF9zZsWUUWkBNrZp9kQvgl645Wp_qFQmX=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipP129SOGoJcJPCw0GZpxpvcny9n-5YbovOgokXx=w150-h150-k-no-p"
8,,"Shaggy Thistle","2019-11-24 19:41:29",2,1,"Waited forever in line, then was never brought food, staffed asked us after 30 mins what we ordered, and had to remake it cuz it was punched up wrong
https://lh5.googleusercontent.com/p/AF1QipMODa59c8eXYD3a5y-GV_F9_qsCFj9Q3dsGjac1=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipNxl1AUi34pAhiDMBjWB2Mt423SYIQEyfRCcG1P=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipM1wUfhSW0vvkxkv2YjyaLsNOzCVwnPPppbPYfZ=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipMODa59c8eXYD3a5y-GV_F9_qsCFj9Q3dsGjac1=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipNxl1AUi34pAhiDMBjWB2Mt423SYIQEyfRCcG1P=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipM1wUfhSW0vvkxkv2YjyaLsNOzCVwnPPppbPYfZ=w150-h150-k-no-p",yes,,en,"6 American restaurant reviews",https://www.google.com/maps/contrib/117198256222475707152?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNNaVp2TGV3EAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICMiZvLew%7CCgwI6bnr7gUQkMynjAE%7C?hl=en,"https://lh5.googleusercontent.com/p/AF1QipMODa59c8eXYD3a5y-GV_F9_qsCFj9Q3dsGjac1=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNxl1AUi34pAhiDMBjWB2Mt423SYIQEyfRCcG1P=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM1wUfhSW0vvkxkv2YjyaLsNOzCVwnPPppbPYfZ=w150-h150-k-no-p"
9,,"Matt Murphy","2019-12-31 23:51:57",2,1,"My family loves Culver's but this location needs some help to get on par. The guy taking our order talked fast and quiet. We had to go over the order with him several times before he rang it up correctly. When he brought out or food, I noticed part of my wife's order was wrong, and I let him know. He walked back behind the counter then came back to say he needed to take back the item that was wrong. He did so, and promptly through the item in the trash on his way back behind the counter. It then took another 10-15 minutes for them to bring out the correct item for my wife. None of the staff were positive or friendly about anything. Thankfully the food was as good as usual which is the only thing that saved this from a 1 star.

Also, I noticed the manager was leaving just as we arrived, and by his demeanor, you could tell he knew his staff was struggling. He did not offer to stay and help. He did criticize the staff on the way out though...",no,,en,"17 reviews in Lansing",https://www.google.com/maps/contrib/115618456098295594938?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURNX3NHT0pBEAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIDM_sGOJA%7CCgwInb6v8AUQ8JuLsAI%7C?hl=en,
10,,"Wendy Milstein","2020-06-11 20:03:26",5,1,"The drive thru, order taker, was so awesome! She was positive and happy. Very friendly women. I love this Culver's.  I even called before I went and the girl on the phone was just as upbeat and positive. And the girl handing out the food to our cars, her too!! Great customer service ladies! And tell the cooks thanks, it was good!",no,,en,"1 review",https://www.google.com/maps/contrib/109741230252492549950?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURjOXVHc2ZREAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIDc9uGsfQ%7CCgwIjpyK9wUQ-OLM-AI%7C?hl=en,
